timestamp,rms_g,curtose,fator_crista,alerta
12:14:42,0.12302,23.1682,8.8874,1
12:14:44,0.12200,23.9786,9.0894,1
12:14:46,0.12047,22.0004,8.7697,1
12:14:48,0.12281,25.0881,9.8142,1
12:14:50,0.12450,21.1649,8.6262,1
12:14:52,0.12698,23.6921,9.0319,1
12:14:54,0.12091,23.9858,9.2598,1
12:14:56,0.12001,23.1528,9.4958,1
12:14:58,0.11955,24.2752,9.6838,1
12:15:00,0.11925,22.7787,9.1596,1
12:15:01,0.12244,22.2118,8.9272,1
12:15:04,0.12036,19.8385,8.7793,1
12:16:01,0.12139,22.3679,8.8419,1
12:16:01,0.11909,22.8239,9.1749,1
12:16:01,0.12001,23.0763,9.3380,1
12:16:01,0.12573,21.4307,8.3926,1
12:16:01,0.12634,18.1548,8.2534,1
12:16:04,0.12254,22.5118,9.3151,1
12:16:06,0.12193,21.1121,9.0295,1
12:16:08,0.12294,23.3237,9.6933,1
12:16:10,0.12135,21.4165,8.8022,1
12:16:12,0.12143,22.9519,9.2890,1
12:16:13,0.11808,23.5235,9.0102,1
12:16:16,0.12041,22.6882,9.1094,1
12:16:19,0.12209,24.8605,9.7152,1
12:16:21,0.12263,23.1271,9.1096,1
12:16:24,0.12173,22.3781,9.1997,1
12:16:28,0.12419,22.3390,8.7454,1
12:16:31,0.12391,22.2003,9.1846,1
12:16:34,0.12347,23.6792,9.3755,1
12:16:36,0.12189,22.5230,9.0580,1
12:16:37,0.12314,22.5979,9.0720,1
12:16:39,0.12292,24.4950,9.7651,1
12:16:41,0.12299,21.2072,8.0831,1
12:16:43,0.12535,22.5742,9.0829,1
12:16:45,0.12281,19.6161,8.8042,1
12:16:46,0.12345,21.0598,8.8845,1
12:16:48,0.12433,22.0475,8.7974,1
12:16:50,0.12304,21.0003,9.4465,1
12:16:53,0.12417,22.0170,9.4197,1
12:16:55,0.12562,21.1287,8.8844,1
12:16:57,0.12370,23.3932,9.4398,1
12:16:59,0.12317,21.9802,8.7443,1
12:17:01,0.12312,21.7432,8.7415,1
12:17:02,0.12091,21.1427,9.1855,1
12:17:04,0.12280,21.8325,9.3812,1
12:17:07,0.12375,20.1652,9.1895,1
12:17:09,0.12442,19.7631,8.6703,1
12:17:11,0.12328,20.5687,9.2872,1
12:17:12,0.12442,22.6521,9.1618,1
12:17:15,0.12290,21.5817,8.9904,1
12:17:17,0.12116,20.4678,8.8781,1
12:17:19,0.12126,21.1792,8.0240,1
12:17:21,0.12318,23.4996,9.0255,1
12:17:23,0.12010,22.6025,9.3956,1
12:17:25,0.11821,20.7862,8.6606,1
12:17:27,0.12047,21.7659,9.0072,1
12:17:28,0.11917,22.3096,8.9414,1
12:17:30,0.12269,22.5483,8.9994,1
12:17:32,0.12253,20.1990,8.4464,1
12:17:34,0.12174,22.3448,9.6832,1
12:17:37,0.12253,22.2582,8.6584,1
12:17:39,0.11902,21.6413,8.7659,1
12:17:41,0.11857,25.4939,9.4740,1
12:17:43,0.12221,21.9743,8.8393,1
12:17:45,0.12017,21.7847,9.0218,1
12:17:47,0.12159,24.1064,9.8744,1
12:17:49,0.12073,23.5902,9.0777,1
12:17:50,0.12031,24.2909,9.1695,1
12:17:52,0.12054,26.4623,9.5342,1
12:17:54,0.11455,25.0822,9.5764,1
12:17:56,0.11715,25.5910,9.4545,1
12:17:58,0.11784,24.8999,8.8787,1
12:17:59,0.11568,23.7906,8.8908,1
12:18:01,0.11879,23.1204,8.3019,1
12:18:03,0.11743,27.2234,9.6320,1
12:18:05,0.11878,27.1877,9.6707,1
12:18:07,0.12418,19.1557,8.8770,1
12:18:10,0.13103,18.3037,8.7336,1
12:18:12,0.12658,22.1312,9.1805,1
12:18:14,0.12325,19.9678,8.5810,1
12:18:16,0.12257,22.7723,8.6997,1
12:18:17,0.12230,21.8444,8.5998,1
12:18:20,0.12016,21.9659,8.8100,1
12:18:22,0.11925,25.1368,9.8852,1
12:18:24,0.12239,22.1832,9.2577,1
12:18:26,0.12507,22.2653,9.2377,1
12:18:29,0.12285,20.7958,8.3051,1
12:18:31,0.12001,21.8605,8.6680,1
12:18:34,0.11905,24.5218,9.1380,1
12:18:38,0.11875,23.6285,8.6903,1
12:18:41,0.11836,23.4204,9.5914,1
12:18:43,0.12569,20.8117,9.2590,1
12:18:49,0.12429,21.2560,8.2578,1
12:18:51,0.11785,25.4346,9.2208,1
12:18:54,0.11411,26.5741,8.7115,1
12:18:58,0.11135,29.2724,9.9370,1
12:19:00,0.11657,25.6653,9.5448,1
12:19:02,0.12326,23.4179,9.1129,1
12:19:04,0.12346,24.1511,9.1564,1
12:19:06,0.11863,23.8054,8.9501,1
12:19:08,0.12120,22.8977,8.8667,1
12:19:10,0.11774,23.7017,9.1458,1
12:19:11,0.11996,27.9888,9.6604,1
12:19:13,0.11922,28.1263,9.4683,1
12:19:15,0.11597,26.5089,9.7477,1
12:19:17,0.11739,24.8781,9.3443,1
12:19:18,0.11925,24.3469,9.2424,1
12:19:20,0.12017,22.1461,9.1034,1
12:19:22,0.12257,25.8948,10.1251,1
12:19:24,0.11838,24.1816,9.4686,1
12:19:26,0.11840,23.7783,9.4013,1
12:19:28,0.11912,24.8489,9.6430,1
12:19:31,0.12124,26.8364,10.2846,1
12:19:32,0.11747,25.1581,9.5924,1
12:19:34,0.11735,29.1633,9.7673,1
12:19:37,0.11630,25.8111,9.7975,1
12:19:38,0.11702,26.0266,9.1498,1
12:19:40,0.11970,24.9119,9.1517,1
12:19:42,0.12018,25.5194,9.7409,1
12:19:44,0.12382,21.8812,9.1880,1
12:19:46,0.12309,20.2202,8.6889,1
12:19:48,0.11806,27.3097,9.7984,1
12:19:50,0.11676,27.9043,10.3151,1
12:19:51,0.11736,25.7338,9.6937,1
12:19:53,0.12246,43.6665,11.3812,1
12:19:55,0.11238,28.2620,10.0246,1
12:19:57,0.10840,33.9781,10.3249,1
12:19:59,0.10824,36.5037,10.7317,1
12:20:00,0.10832,35.4822,10.3102,1
12:20:02,0.13125,19.6793,8.3746,1
12:20:04,0.13954,15.6966,7.5702,1
12:20:06,0.12657,18.8582,8.1057,1
12:20:08,0.12457,18.3839,8.3013,1
12:20:11,0.12751,19.8305,9.2012,1
12:20:13,0.13312,18.1846,8.6427,1
12:20:15,0.11517,13.8441,7.8678,1
12:20:16,0.12139,17.2069,8.2365,1
12:20:18,0.12745,17.4503,7.5837,1
12:20:20,0.12985,21.7734,9.3112,1
12:20:22,0.12938,17.5396,8.5922,1
12:20:24,0.14179,15.7009,8.1317,1
12:20:25,0.13691,24.8589,9.7009,1
12:20:27,0.12298,23.0087,9.3337,1
12:20:29,0.12422,21.6548,8.8262,1
12:20:31,0.12392,22.4688,7.9717,1
12:20:33,0.12174,22.3089,9.2048,1
12:20:35,0.12074,22.7457,9.5520,1
12:20:37,0.11959,22.0832,9.4900,1
12:20:38,0.11952,22.2739,8.8652,1
12:20:40,0.11853,25.4997,9.7987,1
12:20:42,0.11778,21.3729,9.0322,1
12:20:44,0.11989,24.2033,8.6704,1
12:20:45,0.11846,21.6603,8.2557,1
12:20:47,0.12016,21.5723,8.9326,1
12:20:50,0.11838,23.7417,9.5997,1
12:20:51,0.11901,23.7240,9.4356,1
12:20:53,0.12272,22.4273,8.4192,1
12:20:55,0.11632,23.3808,9.2934,1
12:20:57,0.11982,25.6183,9.7121,1
12:20:59,0.11956,23.2986,9.3443,1
12:21:00,0.12071,24.7152,9.2834,1
12:21:02,0.11969,23.1364,9.3390,1
12:21:04,0.12127,24.0828,9.0598,1
12:21:06,0.11835,23.7720,9.4563,1
12:21:08,0.12113,22.1175,8.9205,1
12:21:09,0.12150,21.2650,8.7809,1
12:21:11,0.11971,20.9160,8.7833,1
12:21:13,0.12593,20.3706,8.4657,1
